PING 20.90.92.58 (20.90.92.58) 56(84) bytes of data.
64 bytes from 20.90.92.58: icmp_seq=1 ttl=51 time=64.0 ms
64 bytes from 20.90.92.58: icmp_seq=2 ttl=51 time=81.0 ms
64 bytes from 20.90.92.58: icmp_seq=3 ttl=51 time=20.6 ms
64 bytes from 20.90.92.58: icmp_seq=4 ttl=51 time=33.3 ms
64 bytes from 20.90.92.58: icmp_seq=5 ttl=51 time=51.6 ms
64 bytes from 20.90.92.58: icmp_seq=6 ttl=51 time=70.3 ms
64 bytes from 20.90.92.58: icmp_seq=7 ttl=51 time=75.2 ms
64 bytes from 20.90.92.58: icmp_seq=8 ttl=51 time=22.0 ms
64 bytes from 20.90.92.58: icmp_seq=9 ttl=51 time=29.6 ms
64 bytes from 20.90.92.58: icmp_seq=10 ttl=51 time=50.4 ms
64 bytes from 20.90.92.58: icmp_seq=11 ttl=51 time=71.7 ms
64 bytes from 20.90.92.58: icmp_seq=12 ttl=51 time=74.1 ms
64 bytes from 20.90.92.58: icmp_seq=13 ttl=51 time=19.9 ms
64 bytes from 20.90.92.58: icmp_seq=14 ttl=51 time=35.1 ms
64 bytes from 20.90.92.58: icmp_seq=15 ttl=51 time=59.8 ms
64 bytes from 20.90.92.58: icmp_seq=16 ttl=51 time=77.0 ms
64 bytes from 20.90.92.58: icmp_seq=17 ttl=51 time=80.6 ms
64 bytes from 20.90.92.58: icmp_seq=18 ttl=51 time=18.8 ms
64 bytes from 20.90.92.58: icmp_seq=19 ttl=51 time=40.0 ms
64 bytes from 20.90.92.58: icmp_seq=20 ttl=51 time=64.9 ms
64 bytes from 20.90.92.58: icmp_seq=21 ttl=51 time=66.0 ms
64 bytes from 20.90.92.58: icmp_seq=22 ttl=51 time=18.9 ms
64 bytes from 20.90.92.58: icmp_seq=23 ttl=51 time=26.4 ms
64 bytes from 20.90.92.58: icmp_seq=24 ttl=51 time=48.4 ms
64 bytes from 20.90.92.58: icmp_seq=25 ttl=51 time=72.8 ms
64 bytes from 20.90.92.58: icmp_seq=26 ttl=51 time=81.9 ms
64 bytes from 20.90.92.58: icmp_seq=27 ttl=51 time=84.7 ms
64 bytes from 20.90.92.58: icmp_seq=28 ttl=51 time=107 ms
64 bytes from 20.90.92.58: icmp_seq=29 ttl=51 time=130 ms
64 bytes from 20.90.92.58: icmp_seq=30 ttl=51 time=73.9 ms
64 bytes from 20.90.92.58: icmp_seq=31 ttl=51 time=73.3 ms
64 bytes from 20.90.92.58: icmp_seq=32 ttl=51 time=95.5 ms
64 bytes from 20.90.92.58: icmp_seq=33 ttl=51 time=116 ms
64 bytes from 20.90.92.58: icmp_seq=34 ttl=51 time=69.6 ms
64 bytes from 20.90.92.58: icmp_seq=35 ttl=51 time=83.5 ms
64 bytes from 20.90.92.58: icmp_seq=36 ttl=51 time=80.0 ms
64 bytes from 20.90.92.58: icmp_seq=37 ttl=51 time=103 ms
64 bytes from 20.90.92.58: icmp_seq=38 ttl=51 time=125 ms
64 bytes from 20.90.92.58: icmp_seq=39 ttl=51 time=69.8 ms
64 bytes from 20.90.92.58: icmp_seq=40 ttl=51 time=64.1 ms
64 bytes from 20.90.92.58: icmp_seq=41 ttl=51 time=86.8 ms
64 bytes from 20.90.92.58: icmp_seq=42 ttl=51 time=109 ms
64 bytes from 20.90.92.58: icmp_seq=43 ttl=51 time=65.5 ms
64 bytes from 20.90.92.58: icmp_seq=44 ttl=51 time=78.7 ms
64 bytes from 20.90.92.58: icmp_seq=45 ttl=51 time=74.5 ms
64 bytes from 20.90.92.58: icmp_seq=46 ttl=51 time=97.1 ms
64 bytes from 20.90.92.58: icmp_seq=47 ttl=51 time=120 ms
64 bytes from 20.90.92.58: icmp_seq=48 ttl=51 time=69.9 ms
64 bytes from 20.90.92.58: icmp_seq=49 ttl=51 time=83.1 ms
64 bytes from 20.90.92.58: icmp_seq=50 ttl=51 time=84.1 ms
64 bytes from 20.90.92.58: icmp_seq=51 ttl=51 time=105 ms
64 bytes from 20.90.92.58: icmp_seq=52 ttl=51 time=127 ms
64 bytes from 20.90.92.58: icmp_seq=53 ttl=51 time=76.6 ms
64 bytes from 20.90.92.58: icmp_seq=54 ttl=51 time=71.4 ms
64 bytes from 20.90.92.58: icmp_seq=55 ttl=51 time=91.8 ms
64 bytes from 20.90.92.58: icmp_seq=56 ttl=51 time=115 ms
64 bytes from 20.90.92.58: icmp_seq=57 ttl=51 time=69.7 ms
64 bytes from 20.90.92.58: icmp_seq=58 ttl=51 time=82.8 ms
64 bytes from 20.90.92.58: icmp_seq=59 ttl=51 time=81.4 ms
64 bytes from 20.90.92.58: icmp_seq=60 ttl=51 time=103 ms
64 bytes from 20.90.92.58: icmp_seq=61 ttl=51 time=124 ms
